activity,year,value
Film club,2000,65
Film club,2005,62
Film club,2010,60
Film club,2015,65
Film club,2020,66
Martial arts,2000,36
Martial arts,2005,32
Martial arts,2010,37
Martial arts,2015,33
Martial arts,2020,35
Amateur dramatics,2000,26
Amateur dramatics,2005,28
Amateur dramatics,2010,20
Amateur dramatics,2015,12
Amateur dramatics,2020,5
Table tennis,2000,16
Table tennis,2005,20
Table tennis,2010,20
Table tennis,2015,34
Table tennis,2020,52
Musical performances,2000,0
Musical performances,2005,0
Musical performances,2010,11
Musical performances,2015,16
Musical performances,2020,18
